utt_id	ref	hyp	wer	cer
1162476-20240702%_PAR_0038	山。	啦	1.000	1.000
1379039-20240806%_PAR_0022	谢谢姐姐。	謝謝姐姐	1.000	0.600
1975611-20240912%_PAR_0016	弟弟踢皮球。	放層 та呀	2.000	1.000
677697-20240806%_PAR_0002	一	一个	1.000	1.000
1975611-20240912%_INV_0012	下面跟我说一模一样的。	跟我說一模一樣的	1.000	0.455
1955940-20240715%_PAR_0004	二。	給她	1.000	1.000
1968031-20240905%_INV_0034	PU1复诊。	この内巳一二条	1.000	1.167
677697-20240806%_INV_0045	哦。	于是留容曐라2016년曾悅时 deshalb	2.000	11.000
1968031-20240905%_INV_0014	好。	亮著	1.000	1.000
921579-20240704%_PAR_0008	七，		1.000	1.000
1980710-20240806%_INV_0001	开始。	神ți	1.000	1.000
1713440-20240723%_INV_0014	哥哥喝可乐。	哥哥好可樂	1.000	0.500
1955382-20240903%_INV_0020	妈妈买牛奶。	媽媽們有奶	1.000	0.833
1578402-20240903%_INV_0060	阿姨看看。	Q1 i-ρώ	2.000	1.400
1968031-20240905%_PAR_0004	一		1.000	1.000
1967463-20240718%_INV_0012	乖乖，下面跟我说一模一样的。	过关,上面跟我说一模一样的	1.000	0.357
1970727-20240723%_INV_0018	哥哥喝可乐。	哥哥喝口樂	1.000	0.500
1959878-20240723%_PAR_0008	七，		1.000	1.000
1379039-20240806%_PAR_0003	二	啊	1.000	1.000
677697-20240806%_PAR_0011	十	认真的	1.000	3.000
1129556-20240822%_INV_0026	弟弟踢皮球。	弟弟TP球	1.000	0.500
1739147-20240820%_PAR_0026	爸爸跑步。	参加好	1.000	1.000
1975611-20240912%_INV_0025	猴子喜欢香蕉。	我自己喜歡香蕉	1.000	0.714
1739147-20240820%_INV_0001	好，我们要说普通话哦。	我們要說普通話你要帶著他	1.000	0.909
1668974-20240725%_PAR_0026	猴子喜欢香蕉。	我最喜歡佳佳	1.000	0.857
1578402-20240903%_PAR_0023	爸爸		1.000	1.000
1948676-20240718%_PAR_0011	十		1.000	1.000
1955940-20240715%_PAR_0031	猴子喜欢香蕉。	也是喜歡射作	1.000	0.857
1975180-20240806%_PAR_0017	弟弟踢皮球。	Bbqíaqíaqíaqíaqíaqíaqíaqí conveniently	2.000	6.333
1968469-20240725_INV_0012	爸爸跑步。	爸爸跑步	1.000	0.200
677697-20240806%_PAR_0003	二	说	1.000	1.000
1695730-20240711%_PAR_0029	大象喜欢草莓。	大象喜歡草莓	1.000	0.286
1578402-20240903%_PAR_0010	五	哇哇	1.000	2.000
1975180-20240806%_INV_0016	弟弟踢皮球。	弟弟TP球	1.000	0.500
1975611-20240912%_INV_0033	声音大一点哦。	好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好	1.000	31.857
1975611-20240912%_PAR_0006	六。		1.000	1.000
1975611-20240912%_INV_0013	爸爸跑步。	爸爸跑步	1.000	0.200
932830-20240801%_INV_0029	谢谢姐姐。	謝謝姐姐	1.000	0.600
1968031-20240905%ZXQ_PAR_0004	一		1.000	1.000
1713440-20240723%_INV_0026	长颈鹿。	盤緊錄	1.000	1.000
1970727-20240723%_INV_0030	长颈鹿喜欢山楂树。	长警们录喜欢山桿树	1.000	0.556
1980710-20240806%_INV_0036	长颈鹿喜欢山楂树。	长警录喜欢山家树	1.000	0.444
677697-20240806%_PAR_0014	爸爸跑步。	爸爸跑步	1.000	0.200
60530-20240806%_INV_0028	长颈鹿喜欢山楂树。	场景路喜欢山沾树	1.000	0.556
474862-20240704%_PAR_0003	二。	大其啟動	1.000	2.000
1379039-20240806%_PAR_0018	哥哥喝可乐。	哥哥喝口了	1.000	0.500
60530-20240806%_INV_0012	爸爸跑步。	爸爸跑步	1.000	0.200
1959878-20240723%_PAR_0009	八，		1.000	1.000
1971300-20240722%_PAR_0021	头发飞飞。	AQO,往後描繩 publications	2.000	4.200
677697-20240806%_INV_0041	呃，你的名字？	你的名字	1.000	0.429
921579-20240704%_PAR_0033	长颈鹿喜欢山楂树。	地ング程做意飾	1.000	1.000
1955940-20240715%_INV_0015	爸爸跑步。	放在泡泡	1.000	1.000
1162476-20240702%_INV_0027	妈妈买牛奶。	媽媽, 媽牛奶	2.000	1.000
1980710-20240806%_INV_0024	哥哥喝可乐。	哥哥喝口了	1.000	0.500
1943888-20240711%_PAR_0004	二	我要	1.000	2.000
1578402-20240903%_PAR_0045	买牛奶	加油	1.000	1.000
1955382-20240903%_INV_0014	哥哥喝可乐。	猪茶 멘�	2.000	1.000
1943888-20240711%_INV_0028	大象喜欢草莓。	大笑喜歡草莓	1.000	0.429
921579-20240704%_PAR_0029	猴子喜欢香蕉。	谢美国小姐	1.000	1.000
1968031-20240905%ZXQ_INV_0001	帮我数数。	還有西洋叔	1.000	1.000
60530-20240806%_PAR_0003	三。	三	1.000	0.500
1162476-20240702%_PAR_0022	可乐。		1.000	1.000
1963224-20240801%_INV_0014	弟弟踢皮球。	弟弟踢皮球	1.000	0.167
1578402-20240903%_PAR_0033	喝可乐	嗯哎	1.000	1.000
1129556-20240822%_INV_0040	大象喜欢草莓。	大巷洗,歡草眉	1.000	0.857
1975180-20240806%_INV_0011	好，跟我说一样的。	跟我说一样的Bye	1.000	0.556
1162476-20240702%_PAR_0036	长颈鹿喜欢山楂树。	常見路,請問他太大貨山山好,還預計2020年3月6號,ST前	1.000	3.222
1967463-20240718%_PAR_0022	谢谢姐姐。		1.000	1.000
1967463-20240718%_PAR_0007	六，		1.000	1.000
1884974-20240718%_INV_0014	六。	I'm not still	3.000	6.500
1955940-20240716%_PAR_0010	头发飞飞。	頭髮飛飛	1.000	1.000
1948676-20240718%_PAR_0002	一	常性 catch	2.000	8.000
1943888-20240711%_INV_0013	好。接下来跟我说一模一样的。	好 接下来跟我说一模一样的	2.000	0.143
1379039-20240806%_INV_0012	好，现在跟我说一模一样的。	好 现在跟我说一模一样的	2.000	0.154
1153709-20240730%_INV_0021	谢谢姐姐。	謝謝姐姐	1.000	0.600
1955382-20240903%_PAR_0019	谢谢姐姐。	3.字髮	1.000	1.000
1943888-20240711%_PAR_0027	猴子喜欢香蕉。	好了正式摆秒	1.000	1.000
1962225-20240924%_PAR_0019	哥哥喝可乐。	行了,店家跑得喝口了	1.000	1.667
1884974-20240718%_INV_0022	十。	是	1.000	1.000
1962225-20240924%_INV_0032	长颈鹿喜欢山楂树。	场景录喜欢山沾树	1.000	0.556
1296687-20240725%_PAR_0001	四。		1.000	1.000
1153709-20240730%_PAR_0005	四	爭	1.000	1.000
1962225-20240924%_INV_0024	谢谢姐姐。	謝謝姐姐	1.000	0.600
1930347-20240813%_PAR_0011	十。	最被在 body 29%	3.000	6.000
1970727-20240723%_INV_0028	大象喜欢草莓。	大象洗,歡草眉	1.000	0.714
1980710-20240806%_PAR_0014	爸爸跑步。		1.000	1.000
1578402-20240903%_PAR_0053	大象	他的神	1.000	1.500
1943888-20240711%_INV_0001	帮我数数，	帮我说	1.000	0.600
1971300-20240722%_PAR_0012	十。		1.000	1.000
1668974-20240725%_INV_0037	你看出来了。		1.000	1.000
1153709-20240730%_INV_0015	弟弟踢皮球。	地體提供	1.000	1.000
1968469-20240725_PAR_0005	五		1.000	1.000
1713440-20240723%_INV_0009	好，跟我说一模一样的。	过关说一模一样的	1.000	0.455
1968469-20240725_PAR_0015	弟弟踢皮球。		1.000	1.000
1955940-20240716%_INV_0002	过关，下面跟我说一样的。	过关下面跟我说一样的	1.000	0.167
1975180-20240806%_PAR_0021	头发飞飞。	火化飞飞	1.000	0.600
1129556-20240822%_INV_0001	帮我数数，	我屬數從一	1.000	1.000
1968031-20240905%ZXQ_PAR_0025	谢谢姐姐。	親愛的全部	1.000	1.000
932830-20240801%_INV_0027	头发飞飞。	頭髮飛飛	1.000	1.000
932830-20240801%_INV_0006	我们开始了。	我们开始了	1.000	0.167
1955382-20240903%_INV_0012	没关系。	沒關係	1.000	1.000
1943888-20240711%_INV_0016	弟弟踢皮球。	弟弟TP球	1.000	0.500
1970727-20240723%_PAR_0027	猴子喜欢香蕉。	有病	1.000	1.000
1668974-20240725%_INV_0038	出来做了没，在我这儿，做了是吧？	只要一时速大概退出我本身在做大越广式翻上直海我喜欢打这才能够不然在外见今年我做的越广统掉了一塌一夕这下侍却被工作我的大专真的是的	1.000	3.625
677697-20240806%_INV_0039	山楂树。	山家樹	1.000	0.750
1153709-20240730%_INV_0027	大象喜欢草莓。	大上喜歡蟲妹	1.000	0.714
1975180-20240806%_PAR_0006	六。	交友	1.000	1.000
1970727-20240723%_INV_0016	弟弟踢皮球。	弟弟提啤酒	1.000	0.667
1970727-20240723%_PAR_0011	十		1.000	1.000
1967463-20240718%_INV_0025	猴子喜欢香蕉。	好自喜歡香蕉	1.000	0.571
1668974-20240725%_PAR_0028	大象喜欢草莓。	undkilsten	1.000	1.429
1129556-20240822%_PAR_0043	长颈鹿喜欢山楂树。	还没有开本王 JeffBY	2.000	1.444
1968031-20240905%_PAR_0027	妈妈买牛奶。	媽媽母跟我 worship	2.000	2.167
677697-20240806%_INV_0046	PO1。	厕所逃到的�	1.000	1.500
60530-20240806%_INV_0014	弟弟踢皮球。	弟弟貼皮球	1.000	0.333
1379039-20240806%_PAR_0014	爸爸跑步。	白毛髏	1.000	1.000
1695730-20240711%_INV_0026	猴子喜欢香蕉。	猴子喜欢香椒	1.000	0.286
1883979-20240815%_PAR_0003	三		1.000	1.000
1739147-20240820%_PAR_0023	十		1.000	1.000
677697-20240806%_PAR_0008	七	fant牙	1.000	5.000
1955382-20240903%_PAR_0021	妈妈买牛奶。	媽媽們有呢	1.000	1.000
1955382-20240903%_INV_0010	哥哥喝可乐。	哥哥喝可樂	1.000	0.333
474862-20240704%_INV_0021	谢谢姐姐。	谢谢姐姐	1.000	0.200
60530-20240806%_PAR_0017	哥哥喝可乐。	大孩 Knee	2.000	1.167
1968031-20240905%_INV_0002	从一数到十。	从艺术到时	1.000	0.667
1129556-20240822%_INV_0032	谢谢姐姐。	謝謝姐姐	1.000	0.600
1963224-20240801%_INV_0012	好，现在跟我说一模一样的，爸爸跑步。	好,現在跟我說一模一樣的爸爸跑步	1.000	0.333
921579-20240704%_INV_0020	头发飞飞。	頭髮飛飛	1.000	1.000
1962225-20240924%_INV_0037	术前。	真多高发明	1.000	1.667
1955940-20240715%_INV_0002	开始。	gashuri	1.000	2.333
1162476-20240702%_PAR_0020	哥哥喝可乐。		1.000	1.000
1739147-20240820%_INV_0003	来。		1.000	1.000
1668974-20240725%_PAR_0003	二。		1.000	1.000
677697-20240806%_INV_0029	妈妈买牛奶。	媽媽買牛奶	1.000	0.667
1153709-20240730%_PAR_0009	八	我们开始睡 despice	2.000	13.000
1379039-20240806%_INV_0021	谢谢姐姐。	謝謝姐姐	1.000	0.600
1948676-20240718%_INV_0023	头发飞飞。		1.000	1.000
1975611-20240912%_PAR_0024	妈妈买牛奶。	送他..	1.000	1.000
1709334-20240718%_PAR_0003	一		1.000	1.000
1968031-20240905%ZXQ_PAR_0013	十		1.000	1.000
1975180-20240806%_PAR_0031	长颈鹿喜欢山楂树。	炝眼录 喜歡絲襟	2.000	1.000
1930347-20240813%_PAR_0010	九。	支持我們	1.000	2.000
1709334-20240718%_PAR_0007	五		1.000	1.000
1971300-20240722%_INV_0013	好，过关。现在跟我说，一模一样的。	好 过关现在跟我说一模一样的	2.000	0.235
1967463-20240718%_INV_0001	帮我数数，从一数到十，开始。	放火熟束,從一屬到時開始	1.000	0.786
1959878-20240723%_INV_0020	谢谢姐姐。	谢谢姐姐	1.000	0.200
1174023-20240808%_PAR_0004	三。		1.000	1.000
1695730-20240711%_PAR_0009	七		1.000	1.000
1930347-20240813%_PAR_0005	四。		1.000	1.000
1883979-20240815%_INV_0016	哥哥喝可乐。	哥哥喝可樂	1.000	0.333
921579-20240704%_PAR_0015	爸爸跑步。	爸爸跑步啊	1.000	0.200
1713440-20240723%_PAR_0019	谢谢姐姐。	菜雅多好吃	1.000	1.000
1955940-20240715%_INV_0001	跟我一起从一数到十。	因為我一起從藝術到時	1.000	0.700
1968469-20240725_PAR_0027	大象喜欢草莓。		1.000	1.000
1884974-20240718%_PAR_0030	弟弟踢皮球。	也.. Yea	2.000	1.167
1668974-20240725%_INV_0023	妈妈买牛奶。	媽媽,你猜猜	1.000	1.000
60530-20240806%_PAR_0002	二。	我們就來吃 сы糾愛	2.000	5.000
1980710-20240806%_PAR_0031	妈妈买牛奶。		1.000	1.000
1959878-20240723%_PAR_0006	五，		1.000	1.000
1959878-20240723%_PAR_0015	弟弟踢皮球。		1.000	1.000
1162476-20240702%_INV_0019	哥哥喝可乐。	哥哥和可樂	1.000	0.500
1379039-20240806%_INV_0029	长颈鹿喜欢山楂树。	常警都喜欢山沙树	1.000	0.556
1930347-20240813%_PAR_0009	八。		1.000	1.000
1153709-20240730%_PAR_0024	妈妈买牛奶。	這很隨時的感受	1.000	1.167
677697-20240806%_PAR_0036	长颈鹿。	裁口	1.000	1.000
1129556-20240822%_INV_0019	你要干嘛？	终于我们帶来一个兢的人不受受墨个男	1.000	3.400
1739147-20240820%_INV_0008	三		1.000	1.000
1959878-20240723%_INV_0018	头发飞飞。	好 咸臀	2.000	1.000
1959878-20240723%_PAR_0025	猴子喜欢香蕉。		1.000	1.000
892813-20240802%_PAR_0005	四。		1.000	1.000
1174023-20240808%_PAR_0023	谢谢姐姐。	你跟我们聂富枕想了可以去有人让我走	1.000	3.400
1943888-20240711%_PAR_0031	长颈鹿喜欢山楂树。	做吧我最ani	1.000	1.000
1129556-20240822%_PAR_0013	十。		1.000	1.000
60530-20240806%_PAR_0006	六。	冰度	1.000	1.000
1971300-20240722%_PAR_0004	二。	R	1.000	1.000
1174023-20240808%_INV_0013	下面跟我说一模一样的。	跟我說一模一樣的	1.000	0.455
1955940-20240715%_INV_0026	看能不能弄。		1.000	1.000
1930347-20240813%_INV_0032	CO。	許偶	1.000	1.000
1963224-20240801%_INV_0026	大象喜欢草莓。	大上喜歡草莓	1.000	0.429
1962225-20240924%_INV_0026	妈妈买牛奶。	媽媽買牛奶	1.000	0.667
1967463-20240718%_INV_0027	大象喜欢草莓。	大巷喜歡草莓	1.000	0.429
1153709-20240730%_PAR_0010	九	情况下, China,  health care recovery hospital	6.000	42.000
1955382-20240903%_PAR_0023	猴子喜欢香蕉。		1.000	1.000
1162476-20240702%_PAR_0028	妈妈买牛奶。	然後沒有....	1.000	1.333
